id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,liveness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.05,0.09
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.82,0.07
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.08,0.14
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.88,0.06
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.04,0.08
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.91,0.05
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.35,0.62
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.74,0.11
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.85,0.08
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.07,0.13
11,City Walls,Lyric Fade,hip-hop,melancholic,0.72,95,0.38,0.81,0.12,0.03,0.10
12,Moonlit Sonata,Clara Voss,classical,peaceful,0.22,68,0.73,0.30,0.97,0.98,0.55
13,Velvet Hours,Sable June,r&b,romantic,0.58,96,0.78,0.69,0.44,0.06,0.09
14,Dirt Road Hymn,The Pines,folk,nostalgic,0.44,85,0.66,0.47,0.83,0.12,0.38
15,Pulse Circuit,Gridlock,electronic,energetic,0.88,136,0.62,0.91,0.03,0.79,0.17
16,Iron Curtain,Threshold,metal,angry,0.96,168,0.31,0.55,0.06,0.11,0.22
17,Hollow Fields,June Carter Lee,country,melancholic,0.53,104,0.55,0.61,0.74,0.09,0.15
18,Slow Burn Blues,Dusty Wells,blues,sad,0.39,78,0.42,0.48,0.88,0.18,0.71
